key,module,type,category,source,notes
addedStyleBreak,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
adjustedPPF,Flexo,double,numeric_config,decompiled_source,Accessed via doubleForKey
allowGreaterThanHalf,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
AnalysisDirection,Flexo,int,numeric_config,decompiled_source,Accessed via integerForKey/objectForKey
analyzeAndOptimizeCreateProxyMedia,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey/objectForKey
analyzeAndOptimizeIsCopyingMedia,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
analyzeAndOptimizeSuppressHDRWithH264ProxyAlert,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
analyzeAtContainerRate,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey/objectForKey
angle,Flexo,double,numeric_config,decompiled_source,Accessed via setDouble:forKey
AppleLanguages,Flexo;LunaKit;TextFramework,array,data_storage,decompiled_source,Accessed via arrayForKey/objectForKey
audioWaveFormProportion,Flexo,double,numeric_config,decompiled_source,Accessed via setDouble:forKey
AutoSampler,Final Cut Pro,bool,perf_monitor,decompiled_source,Accessed via boolForKey; Auto-sample CPU profile on spindump
AutoSamplerDontBeep,Final Cut Pro,bool,perf_monitor,decompiled_source,Accessed via boolForKey; Suppress beep on AutoSampler trigger
AutoSamplerInterval,Final Cut Pro,float,numeric_config,decompiled_source,Accessed via floatForKey; AutoSampler sampling interval
AutoSamplerSampleInterval,Final Cut Pro,int,numeric_config,decompiled_source,Accessed via integerForKey; AutoSampler sample-interval override
AutoSamplerSampleLength,Final Cut Pro,int,numeric_config,decompiled_source,Accessed via integerForKey; AutoSampler sample duration
cameraNames,Flexo,dict,data_storage,decompiled_source,Accessed via dictionaryForKey
capitalize,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
ColorGranularityGainValue,Flexo,double,numeric_config,decompiled_source,Accessed via doubleForKey
ColorSpaceOverrideForVOUT,Flexo,array,data_storage,decompiled_source,Accessed via arrayForKey
constantOffset,Flexo,int,numeric_config,decompiled_source,Accessed via integerForKey
CropFillMultiplier,Flexo,double,numeric_config,decompiled_source,Accessed via doubleForKey/objectForKey
DebugKeyItemAudioWaveformsDisabled,Flexo;TimelineKit,bool,debug_visual,binary_extract,Rendering debug toggle
DebugKeyItemBackgroundDisabled,Flexo;TimelineKit,bool,debug_visual,binary_extract,Rendering debug toggle
DebugKeyItemVideoFilmstripsDisabled,Flexo;TimelineKit,bool,debug_visual,binary_extract,Rendering debug toggle
debugTimelineIndex_displayPlayheadOnItem,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
DisableH264InterlacedEncoder,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
DisableHWEncoder,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
diskBWEstimated,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
DoNotShow3DTextVRAMWarning,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
duration,Flexo;Ozone,float,numeric_config,decompiled_source,Accessed via objectForKey/setFloat:forKey/setObject:forKey
eatsNextClip,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey/objectForKey
eatsPreviousClip,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey/objectForKey
EffectsIsolationMaskDefaultType,Flexo,int,numeric_config,decompiled_source,Accessed via integerForKey
enableAVSBDLFilmstripsForHDR,Final Cut Pro,bool,behavior_toggle,decompiled_source,Accessed via boolForKey/objectForKey
enableHDRSkimmingLens,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
EnableHgc2Shaders,Ozone,bool,behavior_toggle,decompiled_source,Accessed via boolForKey; Enable HGC2 shaders (Ozone)
EnableLegacyWideGamutLibrarySetting,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
EnableLibraryUpdateHistoryValidation,CFPreferences,bool,debug_logging,curated_cfprefs,Library update history validation
EnableScheduledReadAudioLogging,CFPreferences,bool,debug_logging,curated_cfprefs,Audio scheduled read logging
enableTheaterShareDestination,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
epoch,Flexo,int,numeric_config,decompiled_source,Accessed via integerForKey
extendPrevious,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
extendTitleBefore,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
extraAfterDuration,Flexo,double,numeric_config,decompiled_source,Accessed via doubleForKey; Duration value
extraBeforeDuration,Flexo,double,numeric_config,decompiled_source,Accessed via doubleForKey; Duration value
faceObservationOscDrawsAsSuperEllipse,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey/objectForKey
faceObservationOscDrawsLandmarks,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
faceObservationOscSuperEllipseCurvature,Flexo,double,numeric_config,decompiled_source,Accessed via doubleForKey/objectForKey/setDouble:forKey
faceObservationOscUsesLandmarks,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey/objectForKey
FadeInGhostWaveform,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFActionFilmstripViewKey,Flexo,unknown,data_storage,binary_extract,
FFAlertUserDefaultsDictionnary,Flexo,dict,data_storage,decompiled_source,Accessed via dictionaryForKey
FFAllowNetworkLocations,Flexo,bool,path_url,decompiled_source,Accessed via boolForKey; URL/path/location
FFAnalyzeAndFixMLVisualSearchKey,Flexo,bool,behavior_toggle,binary_extract,Analyze-and-fix ML visual search
FFAnchoredSequenceSettingsModuleWantsNewProject,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFAnimationPath,Flexo,string,path_url,binary_extract,URL/path/location
FFAssetPreloadTaskNameDefault,Flexo,unknown,data_storage,binary_extract,
FFAssetProxyAudioChannelCountKey,Flexo,mixed,data_storage,binary_extract,Media/asset property key
FFAssetProxyAudioSampleRateKey,Flexo,mixed,data_storage,binary_extract,Media/asset property key
FFAssetProxyAudioSourceCountKey,Flexo,mixed,data_storage,binary_extract,Media/asset property key
FFAssetProxyAuxVideoFlagsKey,Flexo,mixed,data_storage,binary_extract,Media/asset property key
FFAssetProxyFileExtensionKey,Flexo,mixed,data_storage,binary_extract,Media/asset property key
FFAssetProxyHasAudioKey,Flexo,mixed,data_storage,binary_extract,Media/asset property key
FFAssetProxyHasVideoKey,Flexo,mixed,data_storage,binary_extract,Media/asset property key
FFAssetProxyMediaRangeKey,Flexo,mixed,data_storage,binary_extract,Media/asset property key
FFAssetProxyTimecodeFrameDurationKey,Flexo,CMTime,numeric_config,binary_extract,Duration value
FFAssetProxyUTTypeKey,Flexo,mixed,data_storage,binary_extract,Media/asset property key
FFAssetProxyVideoFormatNameKey,Flexo,mixed,data_storage,binary_extract,Media/asset property key
FFAssetProxyVideoPropsKey,Flexo,mixed,data_storage,binary_extract,Media/asset property key
FFAssetProxyVideoSourceCountKey,Flexo,mixed,data_storage,binary_extract,Media/asset property key
FFAudioAngles,Flexo,array,data_storage,decompiled_source,Accessed via arrayForKey
FFAudioClipAuxComponentsLayoutKey,Flexo,unknown,data_storage,binary_extract,
FFAudioClipPrimaryComponentsLayoutKey,Flexo,unknown,data_storage,binary_extract,
FFAudioComponentsAreMinimized,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFAudioComponentsAreOpen,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFAudioComponentsConfigLayoutKey,Flexo,unknown,data_storage,binary_extract,
FFAudioComponentsLayoutItemCacheKey,Flexo,unknown,data_storage,binary_extract,
FFAudioComponentsLayoutItemLookupKey,Flexo,unknown,data_storage,binary_extract,
FFAudioComponentsLayoutItemLookupUpgradeKey,Flexo,unknown,data_storage,binary_extract,
FFAudioDuckingCurveUpdatedNotificationObjectsKey,Flexo,object,notification_userinfo,binary_extract,NSNotification userInfo object key
FFAudioDuckingLoudnessManagerDuckLevelKey,Flexo,unknown,data_storage,binary_extract,
FFAudioDuckingLoudnessManagerSlavesKey,Flexo,unknown,data_storage,binary_extract,
FFAudioEffectDisableLatencyCompensationKey,Flexo,unknown,data_storage,binary_extract,
FFAudioEffectPresetKeyframeMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value
